aliases,canonical
FATEC PINDAMONHANGABA - JOSÉ RENATO GUAYCURU SAN MARTIM,FATEC PINDAMONHANGABA - JOSÉ RENATO GUAYCURU SAN MARTIM
FATEC PIRACICABA,FATEC PIRACICABA - DEP. ROQUE TREVISAN
FATEC PIRACICABA - DEP. ROQUE TREVISAN,FATEC PIRACICABA - DEP. ROQUE TREVISAN
FATEC PIRACICABA - DEPUTADO ROQUE TREVISAN,FATEC PIRACICABA - DEP. ROQUE TREVISAN
FATEC POMPÉIA,FATEC POMPÉIA - SHUNJI NISHIMURA
FATEC POMPÉIA - SHUNJI NISHIMURA,FATEC POMPÉIA - SHUNJI NISHIMURA
FATEC PORTO FERREIRA,FATEC PORTO FERREIRA
FATEC PRAIA GRANDE,FATEC PRAIA GRANDE
FATEC PRESIDENTE PRUDENTE,FATEC PRESIDENTE PRUDENTE
FATEC PROF. ANTONIO BELIZANDRO BARBOSA REZENDE,FATEC PROF. ANTONIO BELIZANDRO BARBOSA REZENDE
FATEC PROF. FERNANDO AMARAL DE ALMEIDA PRADO,FATEC PROF. FERNANDO AMARAL DE ALMEIDA PRADO
FATEC PROF. WALDOMIRO MAY,FATEC PROF. WALDOMIRO MAY
FATEC PROF. WILSON ROBERTO RIBEIRO DE CAMARGO,FATEC PROF. WILSON ROBERTO RIBEIRO DE CAMARGO
FATEC REGISTRO,FATEC REGISTRO
FATEC RIBEIRÃO PRETO,FATEC RIBEIRÃO PRETO
FATEC RIO CLARO,FATEC RIO CLARO
FATEC SANTANA DE PARNAÍBA,FATEC SANTANA DE PARNAÍBA
FATEC SANTO ANDRÉ,FATEC SANTO ANDRÉ
FATEC SÃO BERNARDO DO CAMPO,FATEC SÃO BERNARDO DO CAMPO - ADIB MOISÉS DIB
FATEC SÃO BERNARDO DO CAMPO - ADIB MOISÉS DIB,FATEC SÃO BERNARDO DO CAMPO - ADIB MOISÉS DIB
FATEC SÃO CAETANO DO SUL,FATEC SÃO CAETANO DO SUL - ANTONIO RUSSO
FATEC SÃO CAETANO DO SUL - ANTONIO RUSSO,FATEC SÃO CAETANO DO SUL - ANTONIO RUSSO
FATEC SÃO CARLOS,FATEC SÃO CARLOS
FATEC SÃO JOSÉ DO RIO PRETO,FATEC SÃO JOSÉ DO RIO PRETO - PROFª OLGA MALLUK DA SILVA
FATEC SÃO JOSÉ DO RIO PRETO - PROFª OLGA MALLUK DA SILVA,FATEC SÃO JOSÉ DO RIO PRETO - PROFª OLGA MALLUK DA SILVA
FATEC SÃO JOSÉ DO RIO PRETO - PROFA. OLGA MALLUK DA SILVA,FATEC SÃO JOSÉ DO RIO PRETO - PROFª OLGA MALLUK DA SILVA
FATEC SÃO JOSÉ DOS CAMPOS,FATEC SÃO JOSÉ DOS CAMPOS - PROF. JESSEN VIDAL
FATEC SÃO JOSÉ DOS CAMPOS - PROF. JESSEN VIDAL,FATEC SÃO JOSÉ DOS CAMPOS - PROF. JESSEN VIDAL
FATEC SÃO PAULO,FATEC SÃO PAULO
FATEC SÃO ROQUE,FATEC SÃO ROQUE
FATEC SÃO SEBASTIÃO,FATEC SÃO SEBASTIÃO
FATEC SEBRAE,FATEC SEBRAE
FATEC SERTÃOZINHO,FATEC SERTÃOZINHO - DEP. WALDYR ALCEU TRIGO
FATEC SERTÃOZINHO - DEP. WALDYR ALCEU TRIGO,FATEC SERTÃOZINHO - DEP. WALDYR ALCEU TRIGO
FATEC SERTÃOZINHO - DEPUTADO WALDYR ALCEU TRIGO,FATEC SERTÃOZINHO - DEP. WALDYR ALCEU TRIGO
FATEC SOROCABA,FATEC SOROCABA - JOSÉ CRESPO GONZALES
FATEC SOROCABA - JOSÉ CRESPO GONZALES,FATEC SOROCABA - JOSÉ CRESPO GONZALES
FATEC SUMARÉ,FATEC SUMARÉ
FATEC SUMARÉ (REGIÃO DE CAMPINAS),FATEC SUMARÉ (REGIÃO DE CAMPINAS)
FATEC SUZANO,FATEC SUZANO
FATEC TAQUARITINGA,FATEC TAQUARITINGA - MARLENE MARIA MILETTA SERVIDONI
FATEC TAQUARITINGA - MARLENE MARIA MILETTA SERVIDONI,FATEC TAQUARITINGA - MARLENE MARIA MILETTA SERVIDONI
FATEC TATUAPÉ - VICTOR CIVITA,FATEC TATUAPÉ - VICTOR CIVITA
FATEC TATUÍ,FATEC TATUÍ - PROF. WILSON ROBERTO RIBEIRO DE CAMARGO
FATEC TATUÍ - PROF. WILSON ROBERTO RIBEIRO DE CAMARGO,FATEC TATUÍ - PROF. WILSON ROBERTO RIBEIRO DE CAMARGO
FATEC TAUBATÉ,FATEC TAUBATÉ
FATEC VOTORANTIM,FATEC VOTORANTIM
FATEC ZONA LESTE,FATEC ZONA LESTE
FATEC ZONA LESTE - SP,FATEC ZONA LESTE
FATEC ZONA SUL,FATEC ZONA SUL - DOM PAULO EVARISTO ARNS
FATEC ZONA SUL - DOM PAULO EVARISTO ARNS,FATEC ZONA SUL - DOM PAULO EVARISTO ARNS
FATEC ZONA SUL - SP,FATEC ZONA SUL - DOM PAULO EVARISTO ARNS
FRANCA,FATEC FRANCA - DR. THOMAZ NOVELINO
GARÇA,FATEC GARÇA - DEP. JULIO JULINHO MARCONDES DE MOURA
GUARATINGUETÁ,FATEC GUARATINGUETÁ - PROF. JOÃO MOD
GUARULHOS,FATEC GUARULHOS
INDAIATUBA,FATEC INDAIATUBA - DR. ARCHIMEDES LAMMOGLIA
ITAPETININGA,FATEC ITAPETININGA - PROF. ANTONIO BELIZANDRO BARBOSA REZENDE
ITAQUAQUECETUBA,FATEC ITAQUAQUECETUBA
ITU,FATEC ITU - DOM AMAURY CASTANHO
JABOTICABAL,FATEC JABOTICABAL - NILO DE STÉFANI
JAHU,FATEC JAHU - OCTAVIO CELSO PACHECO DE ALMEIDA PRADO
JALES,FATEC JALES - PROF. JOSÉ CAMARGO
JAU,FATEC JAHU - OCTAVIO CELSO PACHECO DE ALMEIDA PRADO
JAÚ,FATEC JAHU - OCTAVIO CELSO PACHECO DE ALMEIDA PRADO
JUNDIAÍ,FATEC JUNDIAÍ - DEPUTADO ARY FOSSEN
LINS,FATEC LINS - PROF. ANTONIO SEABRA
MARÍLIA,FATEC MARÍLIA - ESTUDANTE RAFAEL ALMEIDA CAMARINHA
MAUÁ,FATEC MAUÁ
MOCOCA,FATEC MOCOCA - MÁRIO ROBERTSON DE SYLOS FILHO
MOGI DAS CRUZES,FATEC MOGI DAS CRUZES
MOGI MIRIM,FATEC MOGI MIRIM - ARTHUR DE AZEVEDO
OURINHOS,FATEC OURINHOS
OURINHOS - NÚCLEO ASSIS,FATEC OURINHOS - NÚCLEO ASSIS
PINDAMONHANGABA,FATEC PINDAMONHANGABA - JOSÉ RENATO GUAYCURU SAN MARTIM
PIRACICABA,FATEC PIRACICABA - DEP. ROQUE TREVISAN
PRAIA GRANDE,FATEC PRAIA GRANDE
PRESIDENTE PRUDENTE,FATEC PRESIDENTE PRUDENTE
SANTO ANDRÉ,FATEC SANTO ANDRÉ
SÃO BERNARDO DO CAMPO,FATEC SÃO BERNARDO DO CAMPO - ADIB MOISÉS DIB
SÃO CAETANO,FATEC SÃO CAETANO DO SUL - ANTONIO RUSSO
SÃO CAETANO DO SUL,FATEC SÃO CAETANO DO SUL - ANTONIO RUSSO
SÃO JOSÉ DO RIO PRETO,FATEC SÃO JOSÉ DO RIO PRETO - PROFª OLGA MALLUK DA SILVA
SÃO JOSÉ DOS CAMPOS,FATEC SÃO JOSÉ DOS CAMPOS - PROF. JESSEN VIDAL
SÃO PAULO,FATEC SÃO PAULO
SÃO SEBASTIÃO,FATEC SÃO SEBASTIÃO
SERTÃOZINHO,FATEC SERTÃOZINHO - DEP. WALDYR ALCEU TRIGO
SOROCABA,FATEC SOROCABA - JOSÉ CRESPO GONZALES
TAQUARITINGA,FATEC TAQUARITINGA - MARLENE MARIA MILETTA SERVIDONI
TATUÍ,FATEC TATUÍ - PROF. WILSON ROBERTO RIBEIRO DE CAMARGO
ZONA LESTE,FATEC ZONA LESTE
ZONA LESTE - SP,FATEC ZONA LESTE
ZONA SUL,FATEC ZONA SUL - DOM PAULO EVARISTO ARNS
ZONA SUL - SP,FATEC ZONA SUL - DOM PAULO EVARISTO ARNS
